,id,Time,Tweet
55,109473671,2023-01-30 12:00:17+00:00,b'Finally back to work after a week of stomach flu... https://t.co/lXsgGsr7VN'
56,1593672030024617984,2023-01-30 12:00:16+00:00,b'@catturd2 What you see in this photo is obviously racism induced climate change destroying an avian flu colony.'
58,3253844895,2023-01-30 12:00:12+00:00,"b""With #Covid19 &amp; #varients it's not a matter of IF it's a matter of WHEN. #AreYouPrepared? What do you do when your\xe2\x80\xa6 https://t.co/H4iVSU0ks5"""
59,1595028807253205001,2023-01-30 12:00:08+00:00,"b'@AllBiteNoBark88 Release the Kraken, its the next government flu? Just saying!'"
60,49666825,2023-01-30 12:00:03+00:00,"b'The latest numbers from the Federal Reserve report the average price of a carton is $4.25, but some organic, pastur\xe2\x80\xa6 https://t.co/vhEirKdusl'"
61,27706099,2023-01-30 12:00:00+00:00,"b'The latest numbers from the Federal Reserve report the average price of a carton is $4.25, but some organic, pastur\xe2\x80\xa6 https://t.co/6x5m7YkQvV'"
63,998300899,2023-01-30 11:59:45+00:00,b'@ElijahSchaffer We are being starved out plain and simple. Ppl that want to control you are destroying our food sup\xe2\x80\xa6 https://t.co/ROOHe6p0TX'
64,1535080263138557958,2023-01-30 11:59:43+00:00,"b'@healthbyjames I haven\xe2\x80\x99t had covid, I\xe2\x80\x99ve been around ppl with covid and I won\xe2\x80\x99t get the vaccine. Never have I had a\xe2\x80\xa6 https://t.co/4Au6bN5hFR'"
65,989630919282700288,2023-01-30 11:59:42+00:00,b'Is sleeping flu a thing? \xf0\x9f\xa4\x94 feel like I\xe2\x80\x99ve lost a whole day somewhere. Happy to be on the other side of it \xe2\x98\x80\xef\xb8\x8f \xe2\x9c\xa8'
68,2257558088,2023-01-30 11:58:35+00:00,b'RT @erlesen: There are certain germy hotspots like bus and subway poles and doorknobs.\nEver wondered how long germs stay on doorknobs and s\xe2\x80\xa6'
72,878270350576029696,2023-01-30 11:58:25+00:00,"b'@DVATW If covid was a bio weapon, expect it to 10x cancer deaths over the next generation. \nIf it wasn\xe2\x80\x99t a bio weap\xe2\x80\xa6 https://t.co/ai7wyMU9GE'"
75,1598609120642404353,2023-01-30 11:57:55+00:00,"b""@DVATW We don't even know if covid exists separate from flu.\n\nThe vaxx, otoh, is both real and dangerous."""
76,1609152557414318080,2023-01-30 11:57:50+00:00,"b""@Housekat43 @CP24 \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3it's called seasonal flu in English besides they've been on 5th dose on safe and effective exp\xe2\x80\xa6 https://t.co/x6YZkris88"""
78,1318535062715998210,2023-01-30 11:57:42+00:00,b'@9NewsAUS @eddy_meyer Got to hand it to them for bending the stats. \xe2\x80\x9c50 times more than the flu\xe2\x80\x9d\xe2\x80\xa6well that\xe2\x80\x99s coz co\xe2\x80\xa6 https://t.co/KyBGHPxkjl'
79,425043933,2023-01-30 11:57:09+00:00,"b""I don't know why some people make it an issue that some people are still wearing masks. It's a personal choice. I w\xe2\x80\xa6 https://t.co/rLyqiwnCRG"""
82,1464963067360550918,2023-01-30 11:56:48+00:00,b'@scottwilliamsdc @ericareport It didn\xe2\x80\x99t protect you from serious illness. I\xe2\x80\x99m not vaccinated and got a mild case. K\xe2\x80\xa6 https://t.co/Q2luedDGUN'
85,2253716036,2023-01-30 11:56:22+00:00,b'RT @dooz_er: Just a friendly reminder to take care of yourself during cold and flu season. You don\xe2\x80\x99t want to get sick. Be smart- wash your\xe2\x80\xa6'
87,350287037,2023-01-30 11:56:17+00:00,b'Day 5 of having this flu/cold/chest pains\xe2\x80\xa6 END NOW PLEASE \xf0\x9f\x98\xad'
88,450673045,2023-01-30 11:56:13+00:00,b'Good morning-16F windchill-37F \xf0\x9f\xa5\xb6I\xe2\x80\x99m up drinking water. Fits has been fed. Still not over my cold/flu but my sinuses\xe2\x80\xa6 https://t.co/QFQpXSCMNC'
92,3271926241,2023-01-30 11:55:30+00:00,b'@Abettervision Just like the flu !!'
93,278222932,2023-01-30 11:55:20+00:00,b'@JimMorgan88 @game4897 @batsterohara @jamesenglish0 Maybe take a look at the flu jab you\xe2\x80\x99re taking every year.'
94,36576487,2023-01-30 11:55:19+00:00,"b""RT @ReesiePeacie: the air is so gross and y'all are sharing it with each other... ew. masks protect you and those around you from airborne\xe2\x80\xa6"""
95,355106476,2023-01-30 11:55:11+00:00,"b'@Doritos_N_MtDew @EssexPR @disclosetv They change the flu vaccine every year because of the different strains, try again.'"
96,311262882,2023-01-30 11:55:08+00:00,b'@OzraeliAvi The fact they are talking about 5th boosters is nuts!! Has this guy talking heard what hes saying! 1000\xe2\x80\xa6 https://t.co/8ScC5u0OML'
97,2976616227,2023-01-30 11:55:07+00:00,"b'RT @KnowsleyCouncil: Winter viruses are circulating, so it\xe2\x80\x99s great to see people still coming forward for their flu and Covid vaccines.\n\nIf\xe2\x80\xa6'"
98,1603736804766941189,2023-01-30 11:55:05+00:00,"b'My JAPANESE FRIENDS-WARNING\nThe CURRENT/NEW FLU SHOT is mRNA same as the \nRISKY ""COVID VAX""/.......Several Companie\xe2\x80\xa6 https://t.co/rUBDI6IoM9'"
99,1273628275777179652,2023-01-30 11:55:03+00:00,b'@healthbyjames Really? Some countries now consider covid as a flu ..'
100,15329909,2023-01-30 11:55:01+00:00,b'@respect65 Considering this secret society whistleblower predicted an engineered flu virus attack on China that wou\xe2\x80\xa6 https://t.co/5BuYDyn6vl'
101,1072703233364156416,2023-01-30 11:55:00+00:00,"b""@DrAseemMalhotra @RetsefL @elonmusk I hope you're happy with your crusade of sewing doubt in vaccines and governmen\xe2\x80\xa6 https://t.co/eoicJO2yZX"""
102,2296117249,2023-01-30 11:54:51+00:00,"b'@healthbyjames Not vaxxed. \nGot Covid first year (I think), the flu this winter.\nPerfectly healthy.\n69 years old.'"
107,270288333,2023-01-30 11:54:27+00:00,b'@tezzig1961 @9NewsAUS @eddy_meyer And yet people willingly get their flu shots every year without question!! \xf0\x9f\x99\x84'
108,820321930142253056,2023-01-30 11:54:23+00:00,b'@ElijahSchaffer The chickens got bird flu \xe2\x9c\xa8\xf0\x9f\x8f\x8c\xf0\x9f\x8f\xbe\xe2\x80\x8d\xe2\x99\x82\xef\xb8\x8f'
109,41822696,2023-01-30 11:54:20+00:00,b'Here are some simple things we can all do to help stop #flu spreading: \n\xf0\x9f\x8f\xa1 Try to stay at home if you\xe2\x80\x99re unwell\n\xf0\x9f\x98\xb7 We\xe2\x80\xa6 https://t.co/Sh4RbQYaWg'
