,id,Time,Tweet
58,3976700894,2023-02-14 15:15:35+00:00,b'RT @Mare_Loch: @Jicol @RealMattCouch Looking at 9 single-spaced pages of horrific side effects makes asthma or even Covid flu look like a p...'
59,1584273696134467584,2023-02-14 15:15:28+00:00,"b""RT @Robi_Schellins: I'm very happy to have contributed to this work, sharing the neuroprotective effects of montelukast (tha asthma medicat..."""
60,1324580683331723265,2023-02-14 15:13:40+00:00,"b""i'm getting asthma as i run for the train\nis it genetic from my family?\nor is it just harder to breathe these days?"""
61,1302505976235544577,2023-02-14 15:12:18+00:00,"b""Ran up the steps at Red Rocks. Take that asthma! You can't st- *wheeze* stop *wheeze* me..."""
62,976048240989757441,2023-02-14 15:11:50+00:00,b'@Lehlogonolo_M1 He has asthma'
63,393452446,2023-02-14 15:11:06+00:00,"b'A recent study in California found a correlation between increased EV usage and improved air quality, with less ast... https://t.co/rPZFk1rjJv'"
64,1574380047036809216,2023-02-14 15:09:53+00:00,b'@NOM1OTstudent1 @AHPpracticeCoP @NOM1OTstudent1  Id love to know if any of these OTs who respond have a role with... https://t.co/tsheFY9PNS'
68,2876907620,2023-02-14 15:08:40+00:00,b'@bass9808 !!!!!!!'
69,1549853464888545282,2023-02-14 15:08:03+00:00,b'@asthma__tan @Oni_Chuu https://t.co/gjteirjgjD'
70,1320611997193400321,2023-02-14 15:07:43+00:00,b'fuck this asthma'
71,47273370,2023-02-14 15:06:44+00:00,"b'@DianeSolomonOR I read your article, and felt like you were telling my childhood asthma story! the MD care, frigh... https://t.co/Hd9inp6Wbr'"
74,1307367915302187009,2023-02-14 15:06:12+00:00,b'inkya'
75,1124620487823245313,2023-02-14 15:05:36+00:00,b'@bts_bighit i cant breathe and i dont even have asthma or sometjing'
76,1316814166913617921,2023-02-14 15:05:12+00:00,b'Gas stoves are still in one-third of U.S. homes. Advocates say this leads to health disparities in the Black commun... https://t.co/A2vu8fMgjc'
77,85370662,2023-02-14 15:03:42+00:00,b'@annockh Yep and asthma seriously playing up too '
78,1509216482533810191,2023-02-14 15:03:37+00:00,"b""The air quality in your home is an important issue for your family's health. If someone in your family has allergie... https://t.co/eocDxfkAVL"""
79,990915744,2023-02-14 15:02:30+00:00,"b'#Asthma Biologics can transform patient lives by  asthma attacks, asthma-related hospital admissions + long-term... https://t.co/fetc8sVTuG'"
80,23184067,2023-02-14 15:01:14+00:00,b'The #FDA has approved a supplemental new drug application to expand the use of #abrocitinib for adolescents with... https://t.co/X2jvAVBVtC'
81,45981388,2023-02-14 15:01:11+00:00,"b""@gbosslet @US_FDA I don't leave my home without it. If you depended on it to breathe, you would know why this shoul... https://t.co/rO25hLUscM"""
82,846850397327249408,2023-02-14 15:00:58+00:00,"b'@Enola_QueenLFC  your brother comes through Miss Enola, does he or has he been diagnosed with asthma'"
83,1423646013252907011,2023-02-14 15:00:16+00:00,"b'In the latest Patient Platform, families share their motivation for participating in the Copenhagen Prospective Stu... https://t.co/4rQLpjdjZ9'"
84,1557766343855706114,2023-02-14 15:00:01+00:00,"b""Roblox Doors in a rhythm game??\n\nJeff's Jingle - LSplash\nCharted by korpyyy#1838 on Discord\n\nThe song and the chart... https://t.co/4mK7qIVwNa"""
85,77605834,2023-02-14 14:59:56+00:00,"b'@DC_Draino We live in Florissant, MO. The government dumped the nuclear waste from the Manhatten Project right in o... https://t.co/PQi7wni7eb'"
86,3048211574,2023-02-14 14:59:36+00:00,b'RT @playboym0nkey: genius wit early onset asthma'
87,3048211574,2023-02-14 14:59:30+00:00,b'RT @shelly_400: Smhhh its called asthma and other complications later on in life'
88,1271686381505581056,2023-02-14 14:58:45+00:00,b'Cochrane Review: Vitamin D Supplements Do Not Reduce Risk of Asthma Attacks \n\n#MedPub #MedTwitter #MedEd #MedNews\nhttps://t.co/m3PWFeSz7Q'
89,1493619810957148164,2023-02-14 14:57:28+00:00,b'@CovidDataReport Days if that Ive just tested negative after 7 days with covid . Been really poorly.  Night chills... https://t.co/tnpH0lt9dz'
90,1281265451713138689,2023-02-14 14:56:32+00:00,b'RT @wopizza: Bombshell!\n\nRepresentative Nancy Mase of South Carolina seen questioning an ex Twitter employee regarding rampant Covid censor...'
91,382336363,2023-02-14 14:56:08+00:00,"b""I'm very happy to have contributed to this work, sharing the neuroprotective effects of montelukast (tha asthma med... https://t.co/Sc6ecIT03e"""
92,1435931225181540354,2023-02-14 14:56:06+00:00,"b'@BBCMorningLive @xandvt Always at my age, Heart Failure, asthma. Just passed a kidney stone Arthritis etc.'"
94,1188901302165741569,2023-02-14 14:55:59+00:00,"b""Eskom compliance with South Africa's Minimum Emissions Standards (MES) would also avoid 140,000 #asthma emergency r... https://t.co/N7kzhAqGK9"""
95,1284106180416221184,2023-02-14 14:55:58+00:00,b'We are so pleased to have recruited the first patient in Europe for the Tide study! Well done to our brilliant t... https://t.co/pxVhSauaUs'
97,1219729987504394241,2023-02-14 14:55:04+00:00,b'This damn asthma of mine Im so blew'
98,1191003043937968133,2023-02-14 14:54:28+00:00,b'this movie made me cry so hard i had an asthma attack https://t.co/rnDmq2TLyx'
105,1487674614759112705,2023-02-14 14:54:07+00:00,b'Help To Keep Your Asthma Under Control With This Great Advice https://t.co/cdnW68oDl9'
107,49970618,2023-02-14 14:53:57+00:00,"b'@MissilePanda Yeah, with him the fever was so high I was worried and he had such a bad headache. He doesnt complai... https://t.co/iajYF5i8Ul'"
108,1492884742877986816,2023-02-14 14:53:23+00:00,"b'@sharon_sjc I guess you didnt watch when he said hes got Asthma, thats why. Be kind'"
109,2166956864,2023-02-14 14:53:21+00:00,b'EHS Newsletter: February 2023\nMold is a Common Asthma Trigger and Ways to Mitigate Exposure Risks + More... https://t.co/wb8gSTyBzd'
110,115412963,2023-02-14 14:52:51+00:00,b'@sharon_sjc He has asthma and sinusitis na'
111,1055969909883260928,2023-02-14 14:51:56+00:00,b'#Asthma is a common chronic inflammatory disease of the airways.'
112,212757135,2023-02-14 14:50:37+00:00,"b'My asthma is asthma-ing today. How dare it, on this the day of love'"
114,822146262,2023-02-14 14:48:14+00:00,"b'@WhiteHouse @POTUS Biden dodged several Vietnam War drafts, one for asthma yet claimed to be a star athlete in foot... https://t.co/oxGoAB9Z1c'"
115,1476459905796444164,2023-02-14 14:46:25+00:00,"b'@JE1NUH American Academy of Allergy, Asthma &amp; Immunology'"
116,625007054,2023-02-14 14:46:24+00:00,"b'GOLD GROUP E: high exacerbation risk: LABA-LAMA, or LABA-LAMA-inhaled corticosteroid (ICS) if higher blood eosinoph... https://t.co/lmRbIDVlWI'"
117,625007054,2023-02-14 14:46:16+00:00,b'We do that by looking at reversibility in FEV1 to bronchodilators (or oral steroids; 15% or 200ml change is signifi... https://t.co/jo3WMWOJh5'
118,625007054,2023-02-14 14:46:15+00:00,"b""If there is not, the latest term is 'Pre-COPD. \n\nThere are other causes of poorly reversible airflow obstructions t... https://t.co/Gv6vQbWudU"""
119,1056922442445307905,2023-02-14 14:46:08+00:00,b'@Imissmymum Asthma'
120,41315840,2023-02-14 14:45:57+00:00,"b'@RBU81 Yeah man I have asthma &amp; live on a main road, which have 3x as many Asians &amp; 2x as many black peoples becaus... https://t.co/mdCVOemDF8'"
121,1252834998652039168,2023-02-14 14:45:14+00:00,b'@RnRNationlive @Edward12HW @RnRliveRadio Just going by their names:\n\nDisturbed \nSeether\nWeezer (I have asthma)'
122,1219610819425701888,2023-02-14 14:44:42+00:00,"b'Clean air is pivotal for #publichealth as poor air quality is associated with a series of #diseases, especially of... https://t.co/WJZpZt1xbE'"
123,870045492629000192,2023-02-14 14:44:39+00:00,b'@pcoxYI5rxRNmYwq https://t.co/xXBJGlyDmM'
124,1511705267116728327,2023-02-14 14:44:29+00:00,"b'Altamira Therapeutics to Report Bentrio Clinical Data, in House Dust Mite and Grass Pollen #AllergicRhinitis, at Fe... https://t.co/IV6bsdSYFZ'"
125,794283537818091520,2023-02-14 14:43:30+00:00,b'Apparently not helpful  Severe #asthma not well represented so authors suggest still room for more #research... https://t.co/kiFA1uzAiD'
126,1616019851210022912,2023-02-14 14:43:09+00:00,"b""I will just play chess or scrubbel than strenuous activity because I have asthma I'm not even scared, or what, but... https://t.co/Fuh9mNoK6Y"""
127,253788450,2023-02-14 14:43:04+00:00,"b""@broseph_stalin The 'culture war' argument in here is bollocks. But so is the argument that LTNs hurt the most vuln... https://t.co/olGLQoF7lK"""
128,1525739556,2023-02-14 14:40:45+00:00,"b'@paulsinha Never had covid, worked in a dual diagnosis at the time. The last time I had a cold, was December 2019.... https://t.co/fHZReMesrY'"
129,1104344119,2023-02-14 14:39:59+00:00,b'My asthma hasnt bothered me in so long but today its choosing to be an ass'
130,817436250,2023-02-14 14:39:44+00:00,b'RT @UoDOpenResearch: #OpenAccess\nClinical Associations of Mucus Plugging in Moderate to Severe Asthma \nhttps://t.co/Jipw5EJU5q \n@UoDMedicin...'
131,37052689,2023-02-14 14:39:10+00:00,"b'Not only will co-pay caps on insulin, asthma meds &amp; epi-pens help Minnesotans afford their life necessary drugs, it... https://t.co/wEQ6hOwmmI'"
132,188862763,2023-02-14 14:39:08+00:00,b'Upstate SC Pollen Count: 164\nTrees = HIGH\nGrasses = absent\nWeeds = absent\nMold spores = Moderate\n#spring... https://t.co/VFz5V6LYJF'
135,1643494740,2023-02-14 14:36:57+00:00,"b""RT @matthewstoller: We destroyed your home and gave your kids asthma, here's a $25 gift card to Quiznos."""
138,2887241412,2023-02-14 14:35:08+00:00,b'Batuk sampai terpaksa tarik nafas dendalam tu maksudnya tgh asthma ke?  letih betul laaaahh batuk gini.'
139,1455169947341049862,2023-02-14 14:34:02+00:00,b'Learned that my preventative inhaler for my pollen-induced asthma symptoms contains milk proteins. Now to play the... https://t.co/xST8sQo1bL'
