,symptoms1,tags
1652,No,sprain
1658,No,sprain
1661,No,sprain
1666,No,sprain
1672,No,sprain
1679,No,sprain
1681,No,sprain
1689,No,sprain
1690,No,sprain
1692,No,sprain
1694,No,sprain
1696,No,sprain
1698,No,sprain
1700,No,sprain
1702,No,sprain
1705,No,sprain
1716,No,sprain
1717,No,sprain
1719,No,sprain
1723,No,sprain
1726,No,sprain
1728,No,sprain
1730,No,sprain
1733,No,sprain
1735,No,sprain
1736,No,sprain
1744,No,sprain
1745,No,sprain
1752,No,sprain
1760,No,sprain
1761,No,sprain
1771,No,sprain
1772,No,sprain
1773,No,sprain
1774,No,sprain
1792,No,sprain
1793,No,sprain
1797,No,sprain
1798,No,sprain
1809,No,sprain
1810,No,sprain
1812,No,sprain
1831,No,sprain
1836,No,sprain
1849,No,sprain
1853,No,sprain
1856,No,sprain
1857,No,sprain
1870,No,sprain
1877,No,sprain
1878,No,sprain
1880,No,sprain
1888,No,sprain
1895,No,sprain
1908,No,sprain
1918,No,sprain
1921,No,sprain
1922,No,sprain
1926,No,sprain
1937,No,sprain
1940,No,sprain
1948,No,sprain
1951,No,sprain
1955,No,sprain
1956,No,sprain
1961,No,sprain
1962,No,sprain
1966,No,sprain
1971,No,sprain
1973,No,sprain
1999,No,sprain
2000,No,sprain
2018,No,sprain
2020,No,sprain
2021,No,sprain
2025,No,sprain
2028,No,sprain
2031,No,sprain
2035,No,sprain
2039,No,sprain
2053,No,sprain
2055,No,sprain
2056,No,sprain
2058,No,sprain
2061,No,sprain
2062,No,sprain
2070,No,sprain
2074,No,sprain
2076,No,sprain
2090,No,sprain
2092,No,sprain
2099,No,sprain
2103,No,sprain
2109,No,sprain
2110,No,sprain
2116,No,sprain
2119,No,sprain
2124,No,sprain
2150,No,sprain
2157,No,sprain
2162,No,sprain
2169,No,sprain
2174,No,sprain
2178,No,sprain
2179,No,sprain
2181,No,sprain
2186,No,sprain
2206,No,sprain
2210,No,sprain
2211,No,sprain
2212,No,sprain
2217,No,sprain
2222,No,sprain
2224,No,sprain
2232,No,sprain
2233,No,sprain
2236,No,sprain
2240,No,sprain
2244,No,sprain
2260,No,stroke
2264,No,stroke
2276,No,stroke
2288,No,stroke
2298,No,stroke
2300,No,stroke
2311,No,stroke
2312,No,stroke
2327,No,stroke
2331,No,stroke
2332,No,stroke
2337,No,stroke
2342,No,stroke
2357,No,stroke
2361,No,stroke
2362,No,stroke
2366,No,stroke
2369,No,stroke
2370,No,stroke
2372,No,stroke
2377,No,stroke
2392,No,stroke
2409,No,stroke
2425,No,stroke
2432,No,stroke
2435,No,stroke
2437,No,stroke
2439,No,stroke
2449,No,stroke
2458,No,stroke
2467,No,stroke
2477,No,stroke
2479,No,stroke
2501,No,stroke
2507,No,stroke
2511,No,stroke
2513,No,stroke
